POSTCODE
PR6 7AX
PR4 4AQ
BB1 1TF
LA5 0RG
PR2 3DB
FY3 7LS
FY3 9HF
LA3 3AB
PR7 1JZ
FY5 4HH
BB4 6RX
PR5 5SS
BB11 5BT
PR4 2HA
PR7 3HN
LA1 2QD
PR5 6GY
BB5 4QG
FY6 7HE
FY5 4HH
WN8 9DP
LE7 7AW
DE12 6EX
NG33 5RZ
LE12 5TB
LE67 3RD
LE67 1EN
LE67 2HA
LE67 2AH
LE67 5DQ
LE67 8HU
LE16 7QZ
LE6 0BB
LE67 2QP
LE10 0LT
LE10 0JL
LE9 8HG
LE67 6NP
DE74 2DA
DE74 2RB
LE16 8AY
LE9 9NG
CV13 6NH
LE14 4HX
LE67 2SL
LE65 1RQ
LE8 4FE
LE11 4SQ
LE11 4SQ
LE6 0GT
LE12 9LU
LE10 2AD
LE11 4PG
LE8 6ZW
LE67 4TA
LE9 7PA
LE10 2DY
LE18 2QU
LE5 3HH
LE4 6BY
LE4 6AZ
LE5 5LL
LE2 8LP
LE4 6RB
LE3 1AH
LE3 9FS
LE3 9FS
LE3 5PA
LE5 5NA
LE5 0PL
LE3 2DH
LE3 0QE
LE4 7HH
LE2 8TN
LE3 1EE
LE5 3FP
LE3 9BX
LE4 2BB
LE4 0PT
LE4 7RE
LE4 0UT
LE1 2JP
LE5 6AD
LE2 9AH
LE3 8PQ
LE2 7JN
LE2 0HE
LE4 5EQ
LE2 6NE
LE18 1HG
LE5 6GJ
LE5 5EZ
LE5 1NG
LE4 1DT
LE3 9NS
LE5 5FS
LE65 1JX
LE3 2PS
LE4 7NJ
LE3 5AS
LE4 0FQ
LE2 1GH
LE12 9TS
LE7 9AG
DE73 8AN
LE9 6QX
LE10 2AE
DE74 2LH
LE67 3LB
LE7 4UU
DE74 2QD
LE8 8BE
LE8 9EQ
LE14 4BZ
LE10 1AW
LE14 4JE
LE67 6NL
LE14 4PB
LE12 5DB
LE67 8PF
LE65 1WL
LE12 8HQ
LE14 4DT
CV9 3QR
LE12 9DA
LE12 8TQ
LE67 5AT
CV9 3NA
LE12 8SA
LE12 6TU
LE12 5LJ
LE16 8TY
LE15 6GY
LE5 4BD
LE65 2LL
DE12 7AH
LE18 3TD
DE12 7DB
LE9 7TE
LE15 8JR
LE2 1TE
LE12 9DB
LE5 5FT
LE4 0FL
LE4 7GY
LE2 0TU
LE5 6LN
LE3 1AH
LE7 4SG
LE11 2DZ
LE15 9QE
LE15 6DT
LE2 2PP
LE8 9DJ
LE2 1XA
LE2 2AA
LE15 8LY
CV9 3PL
LE11 2DU
LE11 2DU
LE8 9FL
LE2 2PJ
CV9 3PQ
CV13 0LE
LE15 6QW
LE16 7AU
LE11 2AE
LE4 5LN
LE12 8QY
LE11 4SQ
LE15 6GY
LE5 1RT
NG34 0NX
NG33 4NW
LN4 3JY
LN6 9EJ
NG34 0RD
PE6 9NB
LN4 3BX
LN4 2BJ
LN6 9EY
NG34 0DG
NG34 7DF
LN6 9PG
LN4 3SX
NG31 9PP
NG31 8DP
PE6 8PZ
PE6 8JE
LN6 5XJ
NG31 9LR
PE6 0JA
PE11 3DG
PE12 8NN
PE12 9PD
PE11 4JP
PE20 1HY
PE12 0XJ
PE12 6PN
PE12 0JG
PE12 0TX
PE21 0PT
PE11 1LG
LN6 7UE
LN2 5PF
LN6 0PF
LN13 9BJ
LN10 5DT
LN11 9TJ
LN8 3SF
LN11 0XL
LN11 7JY
PE23 5PT
DN36 5AQ
LN1 2XT
LN8 3QW
DN36 5SX
LN8 3TS
DN21 3AH
LN7 6AA
PE22 8JB
LN8 2HE
LN7 6EJ
LN8 3TA
LN1 2TP
DN21 3RY
LN1 2BY
LN12 2HU
LN8 3XU
LN9 6QQ
DN36 5NG
PE23 5AQ
DN21 4SX
DN21 5RT
LN8 5PJ
DN21 5XS
DN21 1TE
LN4 4QZ
PE25 3SH
NG34 9BY
DN36 5DR
PE12 9TB
NG33 4PX
LN6 0NL
LN6 0FB
NG32 2DY
NG32 3QQ
NG32 1BX
PE6 9PB
LN4 4HU
LN5 0AJ
NG32 1LG
LN4 3LZ
LN4 2EH
NG31 9ED
NG31 8HQ
NG32 1HT
NG34 9RX
NG34 8JS
LN4 3RB
LN5 0EP
LN6 9AB
LN4 2DT
NG33 4BT
LN6 5UZ
LN6 9LU
LN6 9BN
PE9 4SU
LN5 0NH
NG23 5BQ
PE12 0NL
PE12 8DZ
PE11 3QJ
PE11 4SQ
PE12 6DL
PE11 4TR
PE20 3EN
PE20 2JN
LN2 4AW
LN1 1LW
LN1 1QS
LN5 7TA
LN8 6DU
PE24 5ED
DN21 5QS
LN2 3NE
LN3 4HU
DN38 6AU
LN2 3PF
PE23 5PB
LN11 9AR
PE22 7QB
LN8 3BL
LN1 2JS
DN36 5UZ
LN11 7EP
LN3 4DP
LN1 2QJ
LN11 9XG
LN1 2SD
LN13 9NH
LN13 0NB
LN3 5XJ
LN7 6LY
LN5 0RP
PE12 7HG
LN11 8LD
NG31 8LB
NG33 5DT
NG32 2HQ
NG34 0NA
PE9 1SX
PE12 6AE
PE11 1JQ
PE13 5QY
DN21 3JX
LN10 6YW
DN21 5EP
LN2 2PE
PE23 4PX
PE22 0RR
PE22 8AX
LN5 8EU
PE11 2PJ
DN21 2ST
NG34 8HH
PE22 9HR
PE22 0HU
LN11 8SW
PE22 9AS
LN6 0QQ
NG32 2NB
LN11 7QB
PE6 8HZ
LN2 5RW
PE10 0JJ
NG31 9AA
PE6 9PA
PE11 2TE
LN10 6TQ
DN21 2JB
PE9 2BE
NG31 7UF
PE25 2QJ
LN6 9LU
PE9 3AD
LN11 0HE
LN6 8AR
LN1 3TJ
NR11 7PH
NR17 1BE
NR12 0EY
NR9 4AB
NR9 3LR
NR13 4RH
IP22 2AR
NR10 5EZ
NR30 5ET
NR30 5ET
NR13 3SA
NR11 7EA
NR13 3NZ
NR12 7LL
NR17 1HX
NR15 2AD
NR29 4LH
NR10 5NH
NR9 4JB
NR25 6SG
NR12 8PX
NR25 7DG
NR9 3AD
NR29 5QN
NR10 5AE
NR11 8LE
NR27 0LG
NR28 0ES
NR29 3RY
NR14 7RF
NR13 6SL
NR13 3TJ
NR17 1TP
IP22 5QU
NR26 8UH
NR7 8EW
NR7 8EW
NR10 5DZ
NR7 0AJ
NR14 8TU
NR12 8AH
NR35 2LL
NR18 0QW
PE14 7SG
PE34 4QZ
PE14 7QQ
PE33 0HU
PE14 7HA
NR10 3PX
PE33 0LA
PE30 3LJ
NR7 8NZ
IP24 3PU
PE30 4RR
NR27 0AD
NR13 5JX
NR14 8LY
NR11 6JZ
NR10 3PY
NR7 8NT
